Codice Categoria/Nodo;Codice Categoria/Nodo Padre;Nome Categoria/Nodo Italiana;Nome Categoria/Nodo Inglese;Descrizione Categoria/Nodo Italiana;Descrizione Categoria/Nodo Inglese
1672;1611;PRESE DI SENTINA/SUCCHIAROLE;PLASTIC VALVES AND BILGE STRAINERS;;
19439;1611;VALVOLE;VALVES;;
1695;1611;SCARICHI A MARE TAPPI E OMBRINALI;MUSHROOM HEADS AND DRAIN PLUGS;Passascafo telescopico ;Passascafo telescopico 
1726;1290;POMPE;PUMPS;;
1727;1726;POMPE MANUALI DI SENTINA E SESSOLE;BILGE MANUAL PUMPS AND BAILERS;;
1742;1726;POMPE MANUALI ESTRAZIONE OLIO MOTORE;OIL CHANGE MANUAL PUMPS;;
1749;1726;POMPE DI SENTINA SOMMERGIBILI;SUBMERSIBLE BILGE PUMPS;;
1759;1726;ACCESSORI PER POMPE DI SENTINA SOMMERGIBILI;SUBMERSIBLE BILGE PUMPS' ACCESSORIES;;
1773;1726;OSSIGENATORI  PER VASCHE DEL PESCATO;LIVE WELL AERATING PUMPS;;
1777;1726;POMPE AUTOADESCANTI A GIRANTE;IMPELLER SELF-PRIMING PUMPS;;
1788;1726;POMPE DI GRANDE PORTATA;HIGH-CAPACITY CENTRIFUGAL PUMPS;;
1793;1726;POMPE PER TRAVASO OLIO E GASOLIO;DIESEL AND OIL TRANSFER PUMPS;;
1798;1726;POMPE AUTOCLAVI PER SERVIZI;FRESHWATER SYSTEMS;;
1814;1726;POMPE AUTOCLAVI CON SERBATOIO DI ESPANSIONE;FRESHWATER PRESSURE SYSTEMS WITH ACCUMULATOR TANK;;
1821;1726;POMPE MECCANICHE A TRASCINAMENTO CON PULEGGIA (GIRANTE IN BRONZO);MECHANICAL PULLEY PUMPS (BRONZE IMPELLER);;
1825;1726;POMPE MECCANICHE A TRASCINAMENTO CON PULEGGIA (GIRANTE IN NITRILE);MECHANICAL PULLEY PUMPS (NITRILE IMPELLER);;
1829;1726;POMPE JOHNSON PER RAFFREDDAMENTO MOTORI;JOHNSON ENGINE COOLING PUMPS;;
1840;1726;POMPE ANCOR PER RAFFREDDAMENTO MOTORI;ANCOR ENGINE COOLING PUMPS;;
1862;1726;GIRANTI IN NEOPRENE PER MOTORI FUORIBORDO;NEOPRENE IMPELLERS FOR OUTBOARDS;;
1872;1726;GIRANTI IN NEOPRENE PER GRUPPI POPPIERI;NEOPRENE IMPELLERS FOR STERN DRIVES;;
1875;1726;GIRANTI IN NEOPRENE PER MOTORI ENTROBORDO;NEOPRENE IMPELLERS FOR INBOARD ENGINES;;
1901;1726;GIRANTI STANDARD;STANDARD IMPELLERS;;
1941;1726;ACCESSORI E KIT PER POMPE DI RAFFREDDAMENTO MOTORI;PAPER GASKETS FOR ENGINE COOLING PUMPS;;
1950;2;TERGIVETRO TROMBE/ELETTRICA ENERGIA/FANALI LUCI;WIPERS HORNS/ENERGY ELECTRICAL/NAVIGATION LIGHTS;Categoria_5;
