Codice Prodotto;Descrizione Prodotto Breve Italiana;Codice Categoria;Um;Peso;Disponibilita' maggiore di 0;Obsoleto;Novita';In Offerta;Tipo Offerta;Listino Base;Netto Cliente;Unita' Misura Street Price;Street Price Ivato;Nome Immagine;Link Caratteristiche;Ultimo Aggiornamento
5627123;DISPLAY GARMIN GNX130 ;16817;PZ;0,10;No;No;No;No;Nessuna;1.229,00;995,49;;1.500,00;5627122;http://www.motomarine.it/catalogo/xsia/5627123;2021-02-12
5627122;DISPLAY GARMIN GNX120 ;16817;PZ;0,10;No;No;No;No;Nessuna;737,00;596,97;;899,50;5627122;http://www.motomarine.it/catalogo/xsia/5627122;2021-02-12
5627111;GWIND V1 GARMIN ;15793;PZ;0,10;No;No;No;No;Nessuna;1.229,00;995,49;;1.500,00;5627111;http://www.motomarine.it/catalogo/xsia/5627111;2021-02-12
5627112;GWIND V2 GARMIN ;16819;PZ;0,10;No;No;No;No;Nessuna;1.311,00;1.061,91;;1.600,00;5627112;http://www.motomarine.it/catalogo/xsia/5627112;2021-02-12
5627113;GWIND V3 GARMIN ;16820;PZ;0,10;No;No;No;No;Nessuna;1.311,00;1.061,91;;1.600,00;5627113;http://www.motomarine.it/catalogo/xsia/5627113;2021-02-12
5627130;TASTIERA GNX GARMIN ;16817;PZ;0,10;No;No;No;No;Nessuna;148,80;120,53;;182,00;5627122;http://www.motomarine.it/catalogo/xsia/5627130;2021-02-12
5627132;STAFFA ALBERO 2 DISPLAY GARMIN ;16817;PZ;0,10;No;No;No;No;Nessuna;369,00;298,89;;450,50;5627122;http://www.motomarine.it/catalogo/xsia/5627132;2021-02-12
5627133;STAFFA ALBERO 3 DISPLAY GARMIN ;16817;PZ;0,10;No;No;No;No;Nessuna;451,00;365,31;;550,50;5627122;http://www.motomarine.it/catalogo/xsia/5627133;2021-02-12
5627134;STAFFA ALBERO 4 DISPLAY GARMIN ;16817;PZ;0,10;No;No;No;No;Nessuna;615,00;498,15;;750,50;5627122;http://www.motomarine.it/catalogo/xsia/5627134;2021-02-12
5627039;STAFFA NAUTICA GPS 73/78/78S GARMIN< ;16823;PZ;0,46;Si;No;No;No;Nessuna;18,90;14,36;;23,10;5627023;http://www.motomarine.it/catalogo/xsia/5627039;2021-02-12
5627052;CAVO ALIMENTAZIONE GPS GARMIN 12/24V ;13653;PZ;0,46;Si;No;No;No;Nessuna;20,50;15,58;;25,10;5627003;http://www.motomarine.it/catalogo/xsia/5627052;2021-02-12
5627052;CAVO ALIMENTAZIONE GPS GARMIN 12/24V ;17751;PZ;0,46;Si;No;No;No;Nessuna;20,50;15,58;;25,10;5627006;http://www.motomarine.it/catalogo/xsia/5627052;2021-02-12
5627052;CAVO ALIMENTAZIONE GPS GARMIN 12/24V ;17752;PZ;0,46;Si;No;No;No;Nessuna;20,50;15,58;;25,10;5627031;http://www.motomarine.it/catalogo/xsia/5627052;2021-02-12
5627052;CAVO ALIMENTAZIONE GPS GARMIN 12/24V ;17753;PZ;0,46;Si;No;No;No;Nessuna;20,50;15,58;;25,10;5627037;http://www.motomarine.it/catalogo/xsia/5627052;2021-02-12
5627053;STAFFA NAUTICA GARMIN ETREX 10 ;13653;PZ;0,46;Si;No;No;No;Nessuna;24,60;18,70;;30,10;5627003;http://www.motomarine.it/catalogo/xsia/5627053;2021-02-12
5627053;STAFFA NAUTICA GARMIN ETREX 10 ;17751;PZ;0,46;Si;No;No;No;Nessuna;24,60;18,70;;30,10;5627006;http://www.motomarine.it/catalogo/xsia/5627053;2021-02-12
5627054;STAFFA TUBOLARE GARMIN ETREX 10 ;13653;PZ;0,46;Si;No;No;No;Nessuna;9,90;7,52;;12,10;5627003;http://www.motomarine.it/catalogo/xsia/5627054;2021-02-12
5627054;STAFFA TUBOLARE GARMIN ETREX 10 ;17751;PZ;0,46;Si;No;No;No;Nessuna;9,90;7,52;;12,10;5627006;http://www.motomarine.it/catalogo/xsia/5627054;2021-02-12
5628154;RADAR GARMIN GMR24 XHD ;17321;PZ;1,00;No;No;No;No;Nessuna;2.131,00;1.726,11;;2.600,00;5628151;http://www.motomarine.it/catalogo/xsia/5628154;2021-02-12
4735030;BOW PROPELLER Q125-30 12V ;16835;PZ;12,00;No;No;No;No;Nessuna;1.153,00;576,50;;922,50;4735030;http://www.motomarine.it/catalogo/xsia/4735030;2021-02-12
4735065;BOW PROPELLER DOUBLE Q185-65 12V ;16836;PZ;25,00;No;No;No;No;Nessuna;2.332,00;1.166,00;;1.866,00;4735065;http://www.motomarine.it/catalogo/xsia/4735065;2021-02-12
4735085;BOW PROPELLER DOUBLE Q185-85 12V ;16836;PZ;26,00;No;No;No;No;Nessuna;2.455,00;1.227,50;;1.964,00;4735065;http://www.motomarine.it/catalogo/xsia/4735085;2021-02-12
4735086;BOW PROPELLER DOUBLE Q185-85 24V ;16836;PZ;26,00;Si;No;No;No;Nessuna;2.455,00;1.227,50;;1.964,00;4735065;http://www.motomarine.it/catalogo/xsia/4735086;2021-02-12
4735130;KIT BOW PROPELLER Q125-30 12V ROCKER ;16837;CF;15,00;No;No;No;No;Nessuna;1.493,00;746,50;;1.195,00;4735130;http://www.motomarine.it/catalogo/xsia/4735130;2021-02-12
4735140;KIT BOW PROPELLER Q140-40 12V ROCKER ;16837;CF;16,00;Si;No;No;No;Nessuna;1.976,00;988,00;;1.575,00;4735130;http://www.motomarine.it/catalogo/xsia/4735140;2021-02-12
4735155;KIT BOW PROPELLER Q185-55 12V JOYSTICK ;16837;CF;19,00;No;No;No;No;Nessuna;2.415,00;1.207,50;;1.925,00;4735130;http://www.motomarine.it/catalogo/xsia/4735155;2021-02-12
5660034;RADAR RAYMARINE QUANTUM Q24C ;16843;PZ;1,00;No;No;No;No;Nessuna;1.745,00;1.326,20;;2.129,00;5660034;http://www.motomarine.it/catalogo/xsia/5660034;2021-02-12
0505333;SCALETTA C/PASSAMANO 3 GR INOX ;16989;PZ;3,80;Si;No;No;No;Nessuna;159,50;79,75;;159,50;0505333;http://www.motomarine.it/catalogo/xsia/0505333;2021-02-12
0505334;SCALETTA C/PASSAMANO 4 GR INOX ;16989;PZ;4,00;Si;No;No;No;Nessuna;199,50;99,75;;199,50;0505333;http://www.motomarine.it/catalogo/xsia/0505334;2021-02-12
5633773;EPIRB GME MT603FG GPS CAT1 AUTO ;13139;PZ;1,65;No;No;No;No;Nessuna;627,50;470,63;;766,00;5633673;http://www.motomarine.it/catalogo/xsia/5633773;2021-02-12
5633771;EPIRB GME MT603G GPS CAT2 MAN ;13138;PZ;0,65;No;No;No;No;Nessuna;456,00;342,00;;556,50;5633671;http://www.motomarine.it/catalogo/xsia/5633771;2021-02-12
5720540;LINEA GALLEGGIAMENTO H44 L10M BLUE ;16855;PZ;0,15;Si;No;No;No;Nessuna;33,90;16,95;;32,90;5720520;http://www.motomarine.it/catalogo/xsia/5720540;2021-02-12
5720541;LINEA GALLEGGIAMENTO H44 L10M LIGHT BLUE ;16855;PZ;0,15;Si;No;No;No;Nessuna;33,90;16,95;;32,90;5720520;http://www.motomarine.it/catalogo/xsia/5720541;2021-02-12
5720542;LINEA GALLEGGIAMENTO H44 L10M RED ;16855;PZ;0,15;Si;No;No;No;Nessuna;33,90;16,95;;32,90;5720520;http://www.motomarine.it/catalogo/xsia/5720542;2021-02-12
5801201;MB NORTHWIND SET 6PZ PIATTO FLAT< ;16872;CF;1,30;Si;No;No;No;Nessuna;54,30;27,15;;54,30;5801201;http://www.motomarine.it/catalogo/xsia/5801201;2021-02-12
5801202;MB NORTHWIND SET 6PZ PIATTO DEEP< ;16873;CF;1,12;Si;No;No;No;Nessuna;50,60;25,30;;49,60;5801202;http://www.motomarine.it/catalogo/xsia/5801202;2021-02-12
5801203;MB NORTHWIND SET 6PZ PIATTO DESSERT< ;16874;CF;1,00;Si;No;No;No;Nessuna;49,90;24,95;;49,90;5801203;http://www.motomarine.it/catalogo/xsia/5801203;2021-02-12
